Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
Cranberry Juice,ginger ale,last year,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Gin,ginger ale,last 3 month,0.0,-0.9858277,3,3.0,0.0,Ingredient,Beverage,Canada,7.6868787
Grapes,ginger ale,last year,0.0,-0.98454165,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Ice,ginger ale,last year,0.0,-0.9879169,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Stick,ginger ale,last 3 month,0.0,-1.0268962,6,6.0,0.0,Motivation,Beverage,Canada,7.6868787
Stick,ginger ale,last year,0.0,-1.0268962,6,6.0,0.0,Motivation,Beverage,Canada,7.6868787
White House,ginger ale,last year,0.0,0.0,2,2.0,0.0,Brand,Beverage,Canada,8.834928
#SabrinahFontelar,soda,last year,0.0,-1.0106394,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#Soda,soda,last year,0.0,-1.0379939,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#stayinnandbeoutout,soda,last 6 month,0.296,29.6,0,-0.8,0.0,Hashtag,Beverage,Canada,8.589969
#supercharged,soda,last year,0.0,-0.97927034,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@YouTube,soda,last year,0.0,-0.9866149,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@redbubble,soda,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Meal,soda,last year,0.0,-1.0520021,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sprouts,soda,last 6 month,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Veggies,soda,last year,1.3143001,131.43001,0,-0.85714287,0.0,Ingredient,Beverage,Canada,8.834928
#Angular,tonic,last 3 month,0.6369,63.690002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#bbcqt,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#howsyourheadhun,tonic,last year,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@bbcthree,tonic,last 3 month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
